City,Name,Cuisine,Neighborhood,Reason
Boston,Mahaniyom,Thai,Brookline,Not found in Google Places
Boston,Uni,Contemporary Asian,Back Bay,Not found in Google Places
Boston,La Royal,Peruvian,Cambridge,Not found in Google Places
Boston,Celeste,Peruvian,Somerville,Not found in Google Places
Boston,Hemenway's,Seafood,Providence,Not found in Google Places
Boston,Waterman Grille,American,Providence,Not found in Google Places
Boston,Gracie's,Contemporary American,Providence,Not found in Google Places
Boston,Los Andes Restaurant,Peruvian,Providence,Not found in Google Places
Charleston,Oak Steakhouse - Charleston,Steakhouse,Downtown Charleston,Not found in Google Places
Charleston,Tempest,Contemporary American,Downtown Charleston,Not found in Google Places
Charleston,Southbound,American,Downtown Charleston,Not found in Google Places
Charleston,Ma'am Saab,Pakistani,Downtown Charleston,Not found in Google Places
Charlotte,La Belle Helene,French,Uptown,Not found in Google Places
Charlotte,Fin & Fino - Uptown Charlotte,Seafood,Uptown,Not found in Google Places
Charlotte,Customshop,Contemporary American,Elizabeth,Not found in Google Places
Charlotte,The Goodyear House,Southern,NODA,Not found in Google Places
Charlotte,Rooster's Ballantyne,American,Ballantyne,Not found in Google Places
Chicago,Alla Vita,Contemporary Italian,West Loop,Not found in Google Places
Chicago,Mott Street,Central Asian,Bucktown / Wicker Park,Not found in Google Places
Chicago,Akahoshi Ramen,Japanese,Logan Square,Not found in Google Places
Chicago,Mirra,Mexican,Bucktown / Wicker Park,Not found in Google Places
Chicago,Fioretta,Steakhouse,West Loop,Not found in Google Places
Chicago,Momotaro,Japanese,West Loop,Not found in Google Places
Chicago,Daisies Chicago,American,Logan Square,Not found in Google Places
Chicago,Boka,Contemporary American,Lincoln Park,Not found in Google Places
Chicago,avec West Loop,Mediterranean,West Loop,Not found in Google Places
Chicago,Hawksmoor Chicago,Steakhouse,River North,Not found in Google Places
Chicago,Brasero,Contemporary American,West Town,Not found in Google Places
Chicago,avec River North,Mediterranean,River North,Not found in Google Places
Chicago,Chicago Cut Steakhouse,Steakhouse,River North,Not found in Google Places
Chicago,Kumiko,Dining Bar,West Loop,Not found in Google Places
Chicago,Asador Bastian,Steakhouse,River North,Not found in Google Places
Chicago,Thattu,Indian,Avondale,Not found in Google Places
Chicago,The Publican,American,West Loop,Not found in Google Places
Chicago,Anelya,Ukrainian,Avondale,Not found in Google Places
Chicago,Bronzeville Winery,Contemporary American,Bronzeville,Not found in Google Places
Chicago,Valhalla,Contemporary American,Bucktown / Wicker Park,Not found in Google Places
Chicago,After,Cocktail Bar,West Loop,Not found in Google Places
Chicago,Sepia,Contemporary American,West Loop,Not found in Google Places
Chicago,Mariscos San Pedro,Mexican,Pilsen,Not found in Google Places
Chicago,Ever,American,West Loop,Not found in Google Places
Chicago,PERILLA steakhouse - Riverwalk,Korean,Downtown / Loop,Not found in Google Places
Chicago,Moody Tongue Brewing Company,Brewery,South Loop,Not found in Google Places
Chicago,Cariño,Latin American,Uptown,Not found in Google Places
Chicago,Khmai,Cambodian,North of Foster / Rogers Park,Not found in Google Places
Cincinnati,Mita's Restaurant,Tapas / Small Plates,Cincinnati,Not found in Google Places
Cincinnati,Five Kitchen and Bar,American,Over the Rhine,Not found in Google Places
Cleveland,Flour | Moreland Hills,Italian,Moreland Hills,Not found in Google Places
Cleveland,Blue Point Grille,Seafood,Downtown Cleveland,Not found in Google Places
Cleveland,Edwins Restaurant,French,University Circle,Not found in Google Places
Cleveland,DANTE,American,Tremont,Not found in Google Places
Cleveland,GINKO,Sushi,Tremont,Not found in Google Places
Columbus,Butcher & Rose,Steakhouse,Columbus,Not found in Google Places
Columbus,Cento – German Village,Italian,German Village,Not found in Google Places
Columbus,Tucci's - Dublin,Steakhouse,Dublin,Not found in Google Places
Columbus,Del Mar – Easton,Mediterranean,Easton,Not found in Google Places
Connecticut,Esh Modern Mediterranean - Fairfield,Mediterranean,Fairfield,Not found in Google Places
Connecticut,The North Fork Table & Inn,Contemporary American,Southold,Not found in Google Places
Dallas,Mister Charles,American,Knox / Henderson,Not found in Google Places
Dallas,José,Contemporary Mexican,Park Cities,Not found in Google Places
Dallas,Nick & Sam's Steakhouse,Steakhouse,Uptown,Not found in Google Places
Dallas,Sister,Italian,Park Cities,Not found in Google Places
Dallas,Town Hearth,Steakhouse,Design District,Not found in Google Places
Dallas,Tei-An,Japanese,Arts District,Not found in Google Places
Dallas,El Carlos Elegante,Mexican,West Dallas,Not found in Google Places
Denver,Tavernetta Denver,Italian,Downtown / LoDo,Not found in Google Places
Denver,Alma Fonda Fina,Contemporary Mexican,LoHi,Not found in Google Places
Denver,Rioja,Mediterranean,Downtown / LoDo,Not found in Google Places
Denver,KUMOYA,Japanese,LoHi,Not found in Google Places
Denver,A5 Steakhouse,Steakhouse,LoHi,Not found in Google Places
Denver,Ash'Kara,Mediterranean,Highlands,Not found in Google Places
Denver,BRUTØ,Contemporary American,Downtown / LoDo,Not found in Google Places
Denver,Sunday Vinyl,Wine Bar,Downtown / LoDo,Not found in Google Places
Denver,Cozobi Fonda Fina,Mexican,Boulder,Not found in Google Places
Denver,Frasca Food and Wine,Italian,Boulder,Not found in Google Places
Detroit,Oak & Reel,Italian,Detroit,Not found in Google Places
Detroit,BARDA,Steakhouse,Detroit,Not found in Google Places
Detroit,Bar Pigalle,Contemporary French / American,Detroit,Not found in Google Places
Detroit,Baobab Fare,East African,Detroit,Not found in Google Places
Detroit,Ladder 4 Wine Bar,Contemporary European,Detroit,Not found in Google Places
Greenville County,CAMP,American,Greenville,Not found in Google Places
Greenville County,Soby's,Contemporary American,Greenville,Not found in Google Places
Greenville County,The Lazy Goat,Mediterranean,Greenville,Not found in Google Places
Hawaii,The Pig and the Lady,Vietnamese,Kaimuki,Not found in Google Places
Hawaii,Hau Tree,Mediterranean,Waikiki,Not found in Google Places
Hawaii,MW Restaurant,Seafood,Honolulu,Not found in Google Places
Hawaii,Kaimuki Shokudo,Japanese,Kaimuki,Not found in Google Places
Hawaii,Senia,Contemporary American,Downtown / Chinatown,Not found in Google Places
Hawaii,Lineage Maui,Asian,Wailea,Not found in Google Places
Houston,Rosie Cannonball,Contemporary American,Montrose,Not found in Google Places
Houston,BCN Taste & Tradition,Spanish,Montrose,Not found in Google Places
Houston,Kiran's,Indian,Upper Kirby / Shepherd Corridor,Not found in Google Places
Houston,Agnes and Sherman,Asian,Heights / Washington,Not found in Google Places
Houston,ChopnBlok,African,Montrose,Not found in Google Places
Houston,Brasserie 19,French,River Oaks,Not found in Google Places
Houston,Maximo,Mexican,W. University / Med Center,Not found in Google Places
Houston,Turner's Cut,Steakhouse,Montrose,Not found in Google Places
Houston,March,Mediterranean,Montrose,Not found in Google Places
Houston,Októ,Mediterranean,Montrose,Not found in Google Places
Houston,Lee's,Cocktail Bar,Southeast Houston,Not found in Google Places
Houston,Street To Kitchen,Thai,East End,Not found in Google Places
Jacksonville,Midtown Table,Contemporary Italian,Baymeadows,Not found in Google Places
Jacksonville,Matthew's Restaurant,Contemporary European,Jacksonville,Not found in Google Places
Jacksonville,Rue Saint-Marc,Contemporary European,Jacksonville,Not found in Google Places
Kansas City,Pierpont's at Union Station,Steakhouse,Crossroads / Freight District / Boulevard,Not found in Google Places
Kansas City,Story,Modern European,Prairie Village,Not found in Google Places
Kansas City,Room 39 - Midtown,Farm-to-table,Kansas City,Not found in Google Places
Kansas City,JJ's Restaurant,American,Plaza / Brookside,Not found in Google Places
Las Vegas,Nobu - Caesars Palace Las Vegas,Japanese,Caesars Palace,Not found in Google Places
Las Vegas,Hell's Kitchen - Caesars Palace Las Vegas,American,Caesars Palace,Not found in Google Places
Las Vegas,Vanderpump à Paris,French American,Paris Hotel and Casino,Not found in Google Places
Las Vegas,Top of the World Steakhouse - The STRAT Hotel Casino & Tower,Steakhouse,The STRAT Hotel & Casino,Not found in Google Places
Las Vegas,Esther's Kitchen,Italian,Downtown,Not found in Google Places
Las Vegas,Momofuku Las Vegas,American,The Strip,Not found in Google Places
Las Vegas,Delilah – NYE at Wynn Las Vegas,American,The Strip,Not found in Google Places
Las Vegas,Harlo Steakhouse & Bar,Steakhouse,Summerlin,Not found in Google Places
Las Vegas,La Strega,Italian,Spring Valley,Not found in Google Places
Los Angeles,Dunsmoor,American,Eagle Rock,Not found in Google Places
Los Angeles,Gwen,Contemporary American,Hollywood,Not found in Google Places
Los Angeles,Camélia,French / Japanese,Arts District,Not found in Google Places
Los Angeles,Loreto,Mexican,Atwater Village,Not found in Google Places
Los Angeles,Majordōmo,American,Downtown,Not found in Google Places
Los Angeles,Meteora,Californian,Hollywood,Not found in Google Places
Los Angeles,chi SPACCA,Italian,Hollywood,Not found in Google Places
Los Angeles,Ronan,Pizzeria,West Hollywood,Not found in Google Places
Los Angeles,Steak 48 - Beverly Hills,Steakhouse,Beverly Hills,Not found in Google Places
Los Angeles,Delilah - Los Angeles,American,West Hollywood,Not found in Google Places
Los Angeles,Super Peach,Asian,Century City,Not found in Google Places
Los Angeles,The Nice Guy,Italian,West Hollywood,Not found in Google Places
Los Angeles,Somni,Spanish,West Hollywood,Not found in Google Places
Los Angeles,La Dolce Vita,Italian,Beverly Hills,Not found in Google Places
Los Angeles,Vespertine,Californian,Culver City,Not found in Google Places
Los Angeles,Gjelina,American,Venice,Not found in Google Places
Los Angeles,Anajak Thai Cuisine,Thai,Sherman Oaks,Not found in Google Places
Los Angeles,Petit Trois Le Valley,French,Sherman Oaks,Not found in Google Places
Los Angeles,Harriet's,Cocktail Bar,West Hollywood,Not found in Google Places
Los Angeles,Amiga Amore,Mexican,Highland Park,Not found in Google Places
Los Angeles,Xuntos,Tapas / Small Plates,Santa Monica,Not found in Google Places
Los Angeles,pasjoli,French,Santa Monica,Not found in Google Places
Los Angeles,Melisse,Californian,Santa Monica,Not found in Google Places
Maine,REGARDS,Seafood,Portland,Not found in Google Places
Maine,Benny's,Italian,Portland,Not found in Google Places
Maine,Mr. Tuna,Sushi,Portland,Not found in Google Places
Miami,DOYA,Mediterranean,Wynwood,Not found in Google Places
Miami,Nami Nori - Design District,Japanese,Design District,Not found in Google Places
Miami,L'Atelier de Joël Robuchon - Miami,French,Design District,Not found in Google Places
Miami,Delilah - Miami,American,Brickell,Not found in Google Places
Miami,Luca Osteria,Italian,Coral Gables,Not found in Google Places
Miami,Eating House,American,Coral Gables,Not found in Google Places
Miami,Los Félix Miami,Mexican,Coconut Grove,Not found in Google Places
Miami,Blue Collar,Contemporary American,MiMo / Upper East Side,Not found in Google Places
Miami,Zitz Sum,Japanese Speciality,Coral Gables,Not found in Google Places
Miami,Ariete,Contemporary American,Coconut Grove,Not found in Google Places
Miami,Krüs Kitchen,Contemporary American,Coconut Grove,Not found in Google Places
Miami,Phuc Yea,Asian,MiMo / Upper East Side,Not found in Google Places
Miami,Stubborn Seed Miami Beach,American,South Beach,Not found in Google Places
Miami,Ghee - Downtown Dadeland,Indian,Kendall,Not found in Google Places
Miami,The Den,Sushi,South Beach,Not found in Google Places
Miami,Taki Omakase - Delray,Sushi,Delray Beach,Not found in Google Places
Miami,Stage Kitchen & Bar - Boca,American,Boca Raton,Not found in Google Places
Milwaukee,DanDan Milwaukee,Chinese,Milwaukee,Not found in Google Places
Milwaukee,EsterEv,Contemporary American,Milwaukee,Not found in Google Places
Milwaukee,Bavette La Boucherie,Farm-to-table,Milwaukee,Not found in Google Places
Minneapolis,Manny's Steakhouse,Steak,Downtown / North Loop,Not found in Google Places
Minneapolis,P.S. Steak,Steakhouse,Downtown / Mill District,Not found in Google Places
Minneapolis,Baldamar,Steak,Roseville,Not found in Google Places
Naples,Blackbird Modern Asian - Naples,Asian,Naples,Not found in Google Places
Naples,Tigress Rooftop Restaurant & Bar,Cantonese,Naples Park,Not found in Google Places
Naples,Ocean Prime - Naples,Seafood,Naples,Not found in Google Places
Naples,Oise Ristorante - Fort Myers,Italian,Fort Myers,Not found in Google Places
Nashville,Pelato - Nashville,Italian,Germantown,Not found in Google Places
Nashville,Locust Nashville,Seafood,Belmont / Hillsboro,Not found in Google Places
Nashville,Yolan,Italian,Downtown / Sobro,Not found in Google Places
Nashville,Bad Idea,Wine Bar,East Nashville,Not found in Google Places
Nashville,Bastion,Contemporary American,South Nashville,Not found in Google Places
Nashville,Henrietta Red,American,Germantown,Not found in Google Places
Nashville,International Market - Nashville,Thai,Belmont / Hillsboro,Not found in Google Places
New Jersey,Hawksmoor NYC,American,Gramercy Park,Not found in Google Places
New Jersey,Felina Steak- Jersey City,Italian,Jersey City,Not found in Google Places
New Jersey,SAPPE,Thai,Greenwich Village,Not found in Google Places
New Jersey,Gjelina - New York,Mediterranean,East Village,Not found in Google Places
New Jersey,Sailor,Bistro,Fort Greene,Not found in Google Places
New Jersey,Strange Delight,Oyster Bar,Fort Greene,Not found in Google Places
New Jersey,Estela,Contemporary American,NoHo,Not found in Google Places
New Jersey,Momofuku Noodle Bar - East Village,Asian,East Village,Not found in Google Places
New Jersey,Altro Paradiso,Italian,SoHo,Not found in Google Places
New Jersey,Meximodo - Jersey City,Mexican,Jersey City,Not found in Google Places
New Jersey,Casa Mono,Spanish,Union Square,Not found in Google Places
New Jersey,Scarr's Pizza,Pizzeria,Chinatown,Not found in Google Places
New Jersey,Phoenix Palace,Chinese,Chinatown,Not found in Google Places
New Jersey,Momofuku Noodle Bar - Uptown,Asian,Midtown,Not found in Google Places
New Jersey,Sunn's,Korean,Chinatown,Not found in Google Places
New Jersey,Una Pizza Napoletana,Italian,Lower East Side,Not found in Google Places
New Jersey,Kabawa,Caribbean,East Village,Not found in Google Places
New Jersey,Potluck Club,Chinese,Chinatown,Not found in Google Places
New Jersey,l'abeille,French,TriBeCa,Not found in Google Places
New Jersey,Roscioli - The Roman Feast,Italian,Greenwich Village,Not found in Google Places
New Jersey,Muku,Japanese,TriBeCa,Not found in Google Places
New Jersey,Maddy Rose at Liberty House,Contemporary American,Jersey City,Not found in Google Places
New Jersey,Razza - Jersey City,Pizzeria,Jersey City,Not found in Google Places
New Jersey,Parcelle Chinatown,Bar / Lounge / Bottle Service,Chinatown,Not found in Google Places
New Jersey,Fairfax,American,Greenwich Village,Not found in Google Places
New Jersey,Red Hook Tavern,American,Red Hook,Not found in Google Places
New Jersey,Tolo,Chinese,Lower East Side,Not found in Google Places
New Jersey,Manhatta,American,Financial District,Not found in Google Places
New Jersey,Demo,European,West Village,Not found in Google Places
New Jersey,ASKA,Nordic,Williamsburg,Not found in Google Places
New Mexico,Farm & Table,Farm-to-table,Albuquerque,Not found in Google Places
New Orleans,Brennan's,Creole,French Quarter,Not found in Google Places
New Orleans,GW Fins,Seafood,French Quarter,Not found in Google Places
New Orleans,La Petite Grocery,French,Garden District,Not found in Google Places
New Orleans,Jewel of the South,Contemporary British,French Quarter,Not found in Google Places
New Orleans,Muriel's Jackson Square,Creole / Cajun / Southern,French Quarter,Not found in Google Places
New Orleans,Restaurant August,Contemporary French / American,Central Business District,Not found in Google Places
New Orleans,Tableau,Creole / Cajun / Southern,French Quarter,Not found in Google Places
New Orleans,Shaya,Middle Eastern,Uptown,Not found in Google Places
New Orleans,San Lorenzo at Hotel Saint Vincent,Contemporary Italian,Garden District,Not found in Google Places
New Orleans,The Bower,American,Lower Garden District,Not found in Google Places
Oklahoma City,MAHT,Steakhouse,Oklahoma City,Not found in Google Places
Oklahoma City,Perle Mesta,American,Oklahoma City,Not found in Google Places
Oklahoma City,Osteria,Italian,Oklahoma City,Not found in Google Places
Oklahoma City,Grey Sweater,Global International,Bricktown,Not found in Google Places
Oklahoma City,nonesuch,American,Midtown,Not found in Google Places
Oklahoma City,Birdies by Chef Kevin Lee,Contemporary Korean,Memorial Square,Not found in Google Places
Orlando,The Pinery,Southern,Downtown Orlando,Not found in Google Places
Orlando,Norman's - Orlando,Steakhouse,I Drive / Sand Lake,Not found in Google Places
Orlando,Primo,Italian,I Drive / Sand Lake,Not found in Google Places
Orlando,Knife & Spoon,Steak,I Drive / Sand Lake,Not found in Google Places
Orlando,Charley's Steak House-Celebration FL,Steakhouse,Celebration,Not found in Google Places
Philadelphia,SkyHigh,Cocktail Bar,Center City,Not found in Google Places
Philadelphia,Vernick Fish,Cocktail Bar,Center City,Not found in Google Places
Philadelphia,Friday Saturday Sunday,American,Center City,Not found in Google Places
Philadelphia,My Loup,French,Center City,Not found in Google Places
Philadelphia,Pine Street Grill,American,Center City,Not found in Google Places
Philadelphia,a.kitchen,French American,Center City,Not found in Google Places
Philadelphia,Her Place Supper Club,American,Center City,Not found in Google Places
Philadelphia,Mawn,Cambodian,Bella Vista,Not found in Google Places
Philadelphia,Honeysuckle,American,North Broad,Not found in Google Places
Philadelphia,Vetri Cucina - Philadelphia,Italian,Center City,Not found in Google Places
Philadelphia,High Street Restaurant & Bar,American,Center City,Not found in Google Places
Philadelphia,Almanac,Cocktail Bar,Old City,Not found in Google Places
Philadelphia,Tabachoy,Filipino,South Philly,Not found in Google Places
Philadelphia,Ogawa Sushi & Kappo Omakase,Sushi,Old City,Not found in Google Places
Phoenix,Fat Ox,Italian,Central Scottsdale,Not found in Google Places
Phoenix,Wrigley Mansion - Geordie's,American,Biltmore,Not found in Google Places
Phoenix,The Mission – Old Town Scottsdale,Latin American,Old Town Scottsdale,Not found in Google Places
Phoenix,Christopher's at Wrigley Mansion,Contemporary French,Biltmore,Not found in Google Places
Phoenix,Lom Wong,Thai,West Phoenix,Not found in Google Places
Phoenix,Chilte,Contemporary Mexican,West Phoenix,Not found in Google Places
Phoenix,Course,American,Central Scottsdale,Not found in Google Places
Phoenix,Latha Restaurant,Contemporary American,Downtown Phoenix,Not found in Google Places
Pittsburgh,ELEVEN,American,Downtown,Not found in Google Places
Portland,Dolly Olive & Bar Dolly,Italian,Downtown,Not found in Google Places
Portland,Oma's Hideaway,Indonesian / Malaysian,Southeast Portland,Not found in Google Places
Portland,Shalom Y'all,Mediterranean,Southeast Portland,Not found in Google Places
Portland,Arden,Contemporary American,Northwest Portland,Not found in Google Places
Portland,Canard - Burnside,Contemporary American,Northeast Portland,Not found in Google Places
Portland,L'Orange,Mediterranean,Southeast Portland,Not found in Google Places
Portland,Jeju,Korean,Southeast Portland,Not found in Google Places
Portland,Nodoguro,Japanese Speciality,Downtown,Not found in Google Places
Portland,Xiao Ye,American,Northeast Portland,Not found in Google Places
Portland,Han Oak,Korean,Northeast Portland,Not found in Google Places
Portland,Hayward,Farm-to-table,McMinnville,Not found in Google Places
Raleigh,Poole's Diner,American,Raleigh,Not found in Google Places
Raleigh,Tamasha Modern Indian,Indian,Raleigh,Not found in Google Places
Raleigh,Death & Taxes,American,Raleigh,Not found in Google Places
Raleigh,La Terrazza,Mediterranean,Raleigh,Not found in Google Places
Raleigh,Herons,American,Cary,Not found in Google Places
Rhode Island,Hemenway's,Seafood,Providence,Not found in Google Places
Rhode Island,Gracie's,Contemporary American,Providence,Not found in Google Places
Rhode Island,Waterman Grille,American,Providence,Not found in Google Places
Rhode Island,Los Andes Restaurant,Peruvian,Providence,Not found in Google Places
Richmond,Stella's - Richmond,Greek,Richmond,Not found in Google Places
Salt Lake City,Prohibition,American,Murray,Not found in Google Places
Salt Lake City,Monte,Contemporary American,South Salt Lake,Not found in Google Places
Salt Lake City,Sunday's Best at the Post District,Breakfast,Downtown,Not found in Google Places
Salt Lake City,Matteo Ristorante Italiano,Italian,Salt Lake City,Not found in Google Places
Salt Lake City,Cosmica,Italian,People's Freeway,Not found in Google Places
Salt Lake City,Chase Sapphire Reserve presents Frasca Food and Wine,Italian,Park City,Not found in Google Places
San Antonio,Clementine,Contemporary American,North Central,Not found in Google Places
San Diego,C-Level,Cocktail Bar,Downtown,Not found in Google Places
San Diego,Ironside Fish & Oyster,Seafood,Little Italy,Not found in Google Places
San Diego,Coasterra,Mexican,Harbor Island,Not found in Google Places
San Diego,Marisi,Italian,La Jolla,Not found in Google Places
San Diego,Herb & Wood,Californian,Little Italy,Not found in Google Places
San Diego,Animae,Contemporary Asian,Downtown,Not found in Google Places
San Diego,Juniper & Ivy,Farm-to-table,Little Italy,Not found in Google Places
San Diego,Kettner Exchange,Contemporary American,Little Italy,Not found in Google Places
San Diego,Island Prime,Steakhouse,Downtown,Not found in Google Places
San Diego,The Marine Room,Seafood,La Jolla,Not found in Google Places
San Diego,Paradisaea,Californian,La Jolla,Not found in Google Places
San Diego,Solare Ristorante Lounge,Italian,Point Loma,Not found in Google Places
San Diego,The Whaling Bar,Californian,La Jolla,Not found in Google Places
San Diego,Casa Gabriela,Mexican,La Mesa,Not found in Google Places
San Diego,Herb & Sea,Californian,Encinitas,Not found in Google Places
San Diego,KINDRED,Vegetarian / Vegan,South Park,Not found in Google Places
San Diego,Vintana Wine & Dine,American,Escondido,Not found in Google Places
San Diego,Lilo,Californian,Carlsbad,Not found in Google Places
San Diego,Jeune et Jolie,Contemporary French,Carlsbad,Not found in Google Places
San Francisco,Burdell,Soul food,Oakland,Not found in Google Places
San Francisco,Popoca,Latin American,Oakland,Not found in Google Places
San Francisco,Che Fico San Francisco,Italian,North Panhandle / USF,Not found in Google Places
San Francisco,The Progress,Contemporary American,Western Addition,Not found in Google Places
San Francisco,Angler San Francisco,American,Financial District / Embarcadero,Not found in Google Places
San Francisco,Niku Steakhouse,Steakhouse,SOMA,Not found in Google Places
San Francisco,Bodega SF,Vietnamese,Financial District / Embarcadero,Not found in Google Places
San Francisco,Rich Table,Californian,Western Addition,Not found in Google Places
San Francisco,Gary Danko,Contemporary French / American,Fisherman's Wharf,Not found in Google Places
San Francisco,little shucker,Seafood,Pacific Heights,Not found in Google Places
San Francisco,Saison Cellar & Wine Bar - San Francisco,Wine Bar,SOMA,Not found in Google Places
San Francisco,Aziza,Californian,Richmond District,Not found in Google Places
San Francisco,Hilda and Jesse,Contemporary American,North Beach,Not found in Google Places
San Francisco,Saison,American,SOMA,Not found in Google Places
San Francisco,Californios,Mexican,SOMA,Not found in Google Places
San Francisco,Selby's,American,Menlo Park,Not found in Google Places
San Francisco,O' by Claude Le Tohic,Contemporary French,Downtown / Union Square,Not found in Google Places
San Francisco,Nisei,Japanese,Russian Hill,Not found in Google Places
San Francisco,PRESS Restaurant,American,St. Helena,Not found in Google Places
San Francisco,SingleThread Restaurant & Inn,Californian,Healdsburg,Not found in Google Places
San Francisco,Chez Noir,French,Carmel,Not found in Google Places
San Francisco,Ella Dining Room and Bar,Contemporary American,Sacramento,Not found in Google Places
San Francisco,Camden Spit and Larder,American,Sacramento,Not found in Google Places
San Francisco,Canon,American,Sacramento,Not found in Google Places
Seattle,Lark,Contemporary American,Capitol Hill / First Hill,Not found in Google Places
Seattle,Atoma Seattle,Contemporary American,Wallingford,Not found in Google Places
Seattle,Westward,Northwest,Wallingford,Not found in Google Places
Seattle,Takai by Kashiba,Sushi,Bellevue,Not found in Google Places
Seattle,Cafe Juanita,Italian,Kirkland,Not found in Google Places
Seattle,TOMO,American,White Center,Not found in Google Places
St. Louis,Olive + Oak,American,St. Louis,Not found in Google Places
St. Louis,Madrina,Italian,Webster Groves,Not found in Google Places
St. Louis,Idol Wolf - 21c Museum Hotel St. Louis,Spanish,St. Louis,Not found in Google Places
Tampa,Psomi,Greek,Tampa,Not found in Google Places
Tampa,Predalina,Mediterranean,Tampa,Not found in Google Places
Tampa,Fortu,Contemporary Asian,St. Petersburg,Not found in Google Places
Tampa,Il Ritorno,Italian,St. Petersburg,Not found in Google Places
Tulsa,Ava June,French,East Village,Not found in Google Places
Tulsa,Amelia's Wood-Fired Cuisine,American,Tulsa,Not found in Google Places
Tulsa,LoFi,Pizzeria,Tulsa,Not found in Google Places
Washington DC,Amazonia,Peruvian,Mount Vernon Square,Not found in Google Places
Washington DC,Dauphine's,Contemporary American,Downtown,Not found in Google Places
Washington DC,Thip Khao,Laotian,Columbia Heights / Brightwood,Not found in Google Places
Washington DC,Bresca,Contemporary French / American,U Street Corridor,Not found in Google Places
Washington DC,Elmina,African,U Street Corridor,Not found in Google Places
Washington DC,Causa,Peruvian,Shaw,Not found in Google Places
Washington DC,Service Bar,Cocktail Bar,Mount Vernon Square,Not found in Google Places
Washington DC,Xiquet by Danny Lledó,Spanish,Georgetown,Not found in Google Places
Washington DC,El Taller del Xiquet,Spanish,Georgetown,Not found in Google Places
Washington DC,The Duck and the Peach,American,Capitol Hill,Not found in Google Places
Washington DC,The Ruxton,Steakhouse,Harbor East,Not found in Google Places
Washington DC,Azumi,Japanese,Harbor East,Not found in Google Places
Washington DC,MARTA,Contemporary American,Upper Fells Point,Not found in Google Places
Washington DC,Cypriana - Homewood,Mediterranean,Hampden,Not found in Google Places
West Palm Beach,Stage Kitchen & Bar - Boca,American,Boca Raton,Not found in Google Places
West Palm Beach,The Butcher's Club at PGA National Resort,Steak,Palm Beach Gardens,Not found in Google Places
West Palm Beach,Nicholson Muir Meats,Steakhouse,Boynton Beach,Not found in Google Places
West Palm Beach,Taki Omakase - Delray,Sushi,Delray Beach,Not found in Google Places
