name,city,state,country,reason
Sushi Kai - East Village,New York,NY,USA,Not found in Google Places
Sushi Ikumi,New York,NY,USA,Not found in Google Places
Sushi Kai - West Village,New York,NY,USA,Not found in Google Places
Sushi Kaito,New York,NY,USA,Not found in Google Places
Sushi Katsuei West Village,New York,NY,USA,Not found in Google Places
Sushi Koya,New York,NY,USA,Not found in Google Places
Sushi Katsuei Brooklyn,New York,NY,USA,Not found in Google Places
Sushi Lin Upper West Side,New York,NY,USA,Not found in Google Places
Sushi Lin Brooklyn Heights,New York,NY,USA,Not found in Google Places
Sushi Lin L.E.S,New York,NY,USA,Not found in Google Places
Sushi Lin Park Slope,New York,NY,USA,Not found in Google Places
Sushi Lin Soho,New York,NY,USA,Not found in Google Places
Sushi Lin West Village,New York,NY,USA,Not found in Google Places
Sushi Makoto (NYC) - Omakase,New York,NY,USA,Not found in Google Places
Sushi Mumi,New York,NY,USA,Not found in Google Places
Sushi Nakazawa NY,New York,NY,USA,Not found in Google Places
Sushi Nikko - LIC,New York,NY,USA,Not found in Google Places
Sushi Oku NYC,New York,NY,USA,Not found in Google Places
Sushi on Jones West Village,New York,NY,USA,Not found in Google Places
Sushi Ouji,New York,NY,USA,Not found in Google Places
Sushi Saikou,New York,NY,USA,Not found in Google Places
Sushi Masu,New York,NY,USA,Not found in Google Places
Sushi Saint,New York,NY,USA,Not found in Google Places
Sushi Seki Chelsea,New York,NY,USA,Not found in Google Places
Sushi Teru Omakase,New York,NY,USA,Not found in Google Places
Sushi Seki UES,New York,NY,USA,Not found in Google Places
Sushi W - East Village,New York,NY,USA,Not found in Google Places
Sushi W - UES,New York,NY,USA,Not found in Google Places
Sushi W - UWS,New York,NY,USA,Not found in Google Places
Sushi Yasuda,New York,NY,USA,Not found in Google Places
Sushi Yolo,New York,NY,USA,Not found in Google Places
Sushiro the Handroll Bar,New York,NY,USA,Not found in Google Places
SUteiShi,New York,NY,USA,Not found in Google Places
Sushiichi,New York,NY,USA,Not found in Google Places
Susukino Ramen,New York,NY,USA,Not found in Google Places
Swagat,New York,NY,USA,Not found in Google Places
Swan Room,New York,NY,USA,Not found in Google Places
Sweet Afton,New York,NY,USA,Not found in Google Places
Sweet Catch Brooklyn,New York,NY,USA,Not found in Google Places
Sweetwater Restaurant,New York,NY,USA,Not found in Google Places
Sweet Polly,New York,NY,USA,Not found in Google Places
Sweet Linda,New York,NY,USA,Not found in Google Places
Sylvia’s Restaurant,New York,NY,USA,Not found in Google Places
Symposium Greek Taverna,New York,NY,USA,Not found in Google Places
Swoony's,New York,NY,USA,Not found in Google Places
Szechuan Mountain House Manhattan,New York,NY,USA,Not found in Google Places
Tabare Bushwick,New York,NY,USA,Not found in Google Places
Tabaré Williamsburg,New York,NY,USA,Not found in Google Places
T Bar NYC,New York,NY,USA,Not found in Google Places
Szechuan Mountain House Flushing,New York,NY,USA,Not found in Google Places
Tabernacle Steakhouse,New York,NY,USA,Not found in Google Places
Table 87 Brooklyn Heights,New York,NY,USA,Not found in Google Places
Table 87 Gowanus,New York,NY,USA,Not found in Google Places
Tabu,New York,NY,USA,Not found in Google Places
Tacombi - Bleecker,New York,NY,USA,Not found in Google Places
Tacombi - Financial District,New York,NY,USA,Not found in Google Places
Tacombi - Flatiron,New York,NY,USA,Not found in Google Places
Tacombi - Empire State Building,New York,NY,USA,Not found in Google Places
Tacombi - Forest Hills,New York,NY,USA,Not found in Google Places
Tacombi - Long Island City,New York,NY,USA,Not found in Google Places
Tacombi - NoLita,New York,NY,USA,Not found in Google Places
Tacombi - Upper West Side,New York,NY,USA,Not found in Google Places
Tacombi - Upper East Side,New York,NY,USA,Not found in Google Places
Tacombi - Fort Greene,New York,NY,USA,Not found in Google Places
TacoVision,New York,NY,USA,Not found in Google Places
Tacombi - Williamsburg,New York,NY,USA,Not found in Google Places
Tacuba - Hell's Kitchen,New York,NY,USA,Not found in Google Places
Taikun Sushi NYC,New York,NY,USA,Not found in Google Places
Take Care,New York,NY,USA,Not found in Google Places
Take31,New York,NY,USA,Not found in Google Places
TAKEDA,New York,NY,USA,Not found in Google Places
TAL Korean Bistro,New York,NY,USA,Not found in Google Places
Takumi Omakase,New York,NY,USA,Not found in Google Places
Talia's Steakhouse & Bar,New York,NY,USA,Not found in Google Places
Taishoken,New York,NY,USA,Not found in Google Places
Tamarind Tribeca,New York,NY,USA,Not found in Google Places
Tang by Mr. Sun,New York,NY,USA,Not found in Google Places
TAPPO NYCThinCrust Pizza,New York,NY,USA,Not found in Google Places
Tara Kitchen Tribeca,New York,NY,USA,Not found in Google Places
TAQ - Taqueria Restaurant & Bar - NY,New York,NY,USA,Not found in Google Places
Tara Rose,New York,NY,USA,Not found in Google Places
Tanoreen,New York,NY,USA,Not found in Google Places
Tasca,New York,NY,USA,Not found in Google Places
"TATIANA, By Kwame Onwuachi",New York,NY,USA,Not found in Google Places
Tatsuda Omakase,New York,NY,USA,Not found in Google Places
Tara Mór,New York,NY,USA,Not found in Google Places
Taureau,New York,NY,USA,Not found in Google Places
Tava Turkish and Mediterranean,New York,NY,USA,Not found in Google Places
Tavern 29,New York,NY,USA,Not found in Google Places
Taverna Di Bacco,New York,NY,USA,Not found in Google Places
Teakwood Thai Chophouse,New York,NY,USA,Not found in Google Places
Telly's Taverna - Astoria,New York,NY,USA,Not found in Google Places
Temakase Williamsburg,New York,NY,USA,Not found in Google Places
Temakase East Village,New York,NY,USA,Not found in Google Places
Temple Bar,New York,NY,USA,Not found in Google Places
Temple Court,New York,NY,USA,Not found in Google Places
Tenny's Brunch,New York,NY,USA,Not found in Google Places
Tera Mera,New York,NY,USA,Not found in Google Places
Temperance,New York,NY,USA,Not found in Google Places
Terina,New York,NY,USA,Not found in Google Places
Terrace at Nougatine by Jean-Georges,New York,NY,USA,Not found in Google Places
Terra,New York,NY,USA,Not found in Google Places
Terravita Battery Park,New York,NY,USA,Not found in Google Places
Teruko,New York,NY,USA,Not found in Google Places
TESSA,New York,NY,USA,Not found in Google Places
Tha Phraya,New York,NY,USA,Not found in Google Places
The Ainsworth Brooklyn,New York,NY,USA,Not found in Google Places
Thai Food Near Me,New York,NY,USA,Not found in Google Places
Terroir,New York,NY,USA,Not found in Google Places
Thai Diner,New York,NY,USA,Not found in Google Places
The Bar Downstairs & Kitchen,New York,NY,USA,Not found in Google Places
The Bar at Cafe Kitsune,New York,NY,USA,Not found in Google Places
The Astarita,New York,NY,USA,Not found in Google Places
The Bar Room at Chateau Royale,New York,NY,USA,Not found in Google Places
The Bar Room,New York,NY,USA,Not found in Google Places
The Bar Room at The Beekman,New York,NY,USA,Not found in Google Places
The Bar Room at The Modern,New York,NY,USA,Not found in Google Places
The Bedford,New York,NY,USA,Not found in Google Places
The Bedford - Stone Street,New York,NY,USA,Not found in Google Places
The Belfry,New York,NY,USA,Not found in Google Places
The Boardroom,New York,NY,USA,Not found in Google Places
The Bonnefont,New York,NY,USA,Not found in Google Places
The Brooklyn Firefly,New York,NY,USA,Not found in Google Places
The Bonnie,New York,NY,USA,Not found in Google Places
The Cabinet Mezcal Bar,New York,NY,USA,Not found in Google Places
The Calaveras NYC,New York,NY,USA,Not found in Google Places
The Cactus Shop,New York,NY,USA,Not found in Google Places
The Campbell,New York,NY,USA,Not found in Google Places
the Chatti,New York,NY,USA,Not found in Google Places
The Clam,New York,NY,USA,Not found in Google Places
The Chef’s Counter at Manhatta,New York,NY,USA,Not found in Google Places
The Clam Bar,New York,NY,USA,Not found in Google Places
The Chemistry Room,New York,NY,USA,Not found in Google Places
The Clocktower,New York,NY,USA,Not found in Google Places
The Commissary at Metrograph,New York,NY,USA,Not found in Google Places
The Commerce Inn,New York,NY,USA,Not found in Google Places
The Consulate,New York,NY,USA,Not found in Google Places
The Common - Park Slope,New York,NY,USA,Not found in Google Places
The Consulate Midtown,New York,NY,USA,Not found in Google Places
The Coop at Double Chicken Please,New York,NY,USA,Not found in Google Places
The Copper Still - East Village,New York,NY,USA,Not found in Google Places
The Corner,New York,NY,USA,Not found in Google Places
The Corner Store,New York,NY,USA,Not found in Google Places
The Corner (Bay Ridge),New York,NY,USA,Not found in Google Places
The Dead Rabbit New York City,New York,NY,USA,Not found in Google Places
The Dining Room at Chateau Royale,New York,NY,USA,Not found in Google Places
The Dining Room at Gramercy Tavern,New York,NY,USA,Not found in Google Places
The Copper Still - Chelsea,New York,NY,USA,Not found in Google Places
The Drunken Munkey,New York,NY,USA,Not found in Google Places
The Dutch,New York,NY,USA,Not found in Google Places
The Dynamo Room,New York,NY,USA,Not found in Google Places
The Edge Harlem,New York,NY,USA,Not found in Google Places
The Eighty Six,New York,NY,USA,Not found in Google Places
The Ellington,New York,NY,USA,Not found in Google Places
The Flower Shop,New York,NY,USA,Not found in Google Places
The Django,New York,NY,USA,Not found in Google Places
The Flower Shop Rooftop,New York,NY,USA,Not found in Google Places
The Fly,New York,NY,USA,Not found in Google Places
The Four Horsemen,New York,NY,USA,Not found in Google Places
The Foyer at NY Vintners,New York,NY,USA,Not found in Google Places
The Fulton by Jean-Georges,New York,NY,USA,Not found in Google Places
The Gallery at The Carlyle,New York,NY,USA,Not found in Google Places
The Garret West,New York,NY,USA,Not found in Google Places
The Flying Cock,New York,NY,USA,Not found in Google Places
The Golden Swan,New York,NY,USA,Not found in Google Places
The Gem Saloon,New York,NY,USA,Not found in Google Places
The Good Good,New York,NY,USA,Not found in Google Places
The Great Indian Kitchen,New York,NY,USA,Not found in Google Places
The Green Room,New York,NY,USA,Not found in Google Places
THE GRILL,New York,NY,USA,Not found in Google Places
The Half Pint / Ernie's,New York,NY,USA,Not found in Google Places
The Harrison,New York,NY,USA,Not found in Google Places
The Grand,New York,NY,USA,Not found in Google Places
The Highlight Room,New York,NY,USA,Not found in Google Places
The Honey Well,New York,NY,USA,Not found in Google Places
The Horny Ram,New York,NY,USA,Not found in Google Places
The Happiest Hour,New York,NY,USA,Not found in Google Places
The Independent NYC,New York,NY,USA,Not found in Google Places
The Irish Exit,New York,NY,USA,Not found in Google Places
The Kitchen Table at The Modern,New York,NY,USA,Not found in Google Places
The Joyce Public House,New York,NY,USA,Not found in Google Places
The Lambs Bar,New York,NY,USA,Not found in Google Places
The Lambs Club,New York,NY,USA,Not found in Google Places
"The Lavaux, Swiss Wine and Fondue Bar",New York,NY,USA,Not found in Google Places
The Library at The Public,New York,NY,USA,Not found in Google Places
The Lions,New York,NY,USA,Not found in Google Places
The Little Shop,New York,NY,USA,Not found in Google Places
The Lobster Club,New York,NY,USA,Not found in Google Places
The Loft Steakhouse - Brooklyn,New York,NY,USA,Not found in Google Places
The Lonesome Club,New York,NY,USA,Not found in Google Places
The Long Room,New York,NY,USA,Not found in Google Places
The LookUp,New York,NY,USA,Not found in Google Places
The Lotus Room,New York,NY,USA,Not found in Google Places
The Malt House FiDi,New York,NY,USA,Not found in Google Places
The Malt House Greenwich Village,New York,NY,USA,Not found in Google Places
The Mary Lane,New York,NY,USA,Not found in Google Places
The Mark Clam Bar,New York,NY,USA,Not found in Google Places
The Mean Fiddler,New York,NY,USA,Not found in Google Places
The Mark Restaurant by Jean-Georges,New York,NY,USA,Not found in Google Places
The Milton NYC,New York,NY,USA,Not found in Google Places
The Monkey King,New York,NY,USA,Not found in Google Places
The Modern,New York,NY,USA,Not found in Google Places
The Neighbors,New York,NY,USA,Not found in Google Places
The Naked Pig,New York,NY,USA,Not found in Google Places
The Newsroom,New York,NY,USA,Not found in Google Places
The Nines,New York,NY,USA,Not found in Google Places
The Noble,New York,NY,USA,Not found in Google Places
The Mulberry,New York,NY,USA,Not found in Google Places
The Noortwyck,New York,NY,USA,Not found in Google Places
The Nuaa Table,New York,NY,USA,Not found in Google Places
The Onion Tree Pizza Co. - NYC,New York,NY,USA,Not found in Google Places
The Original Buddha Bodai Kosher Vegetarian Restaurant,New York,NY,USA,Not found in Google Places
The Otter,New York,NY,USA,Not found in Google Places
The Owl’s Tail,New York,NY,USA,Not found in Google Places
The Penny Farthing,New York,NY,USA,Not found in Google Places
The Polo Bar,New York,NY,USA,Not found in Google Places
The Penrose,New York,NY,USA,Not found in Google Places
The Portrait Bar,New York,NY,USA,Not found in Google Places
The Queensboro,New York,NY,USA,Not found in Google Places
The Reading Room,New York,NY,USA,Not found in Google Places
The Ready,New York,NY,USA,Not found in Google Places
The Red Room @ The Perry Club,New York,NY,USA,Not found in Google Places
The Regency Bar & Grill at Loews Regency New York Hotel,New York,NY,USA,Not found in Google Places
The Restaurant at Gilder,New York,NY,USA,Not found in Google Places
The Residence of Mr. Moto,New York,NY,USA,Not found in Google Places
The Rhymers' Club,New York,NY,USA,Not found in Google Places
The Rooftop at The Manner,New York,NY,USA,Not found in Google Places
The Ribbon,New York,NY,USA,Not found in Google Places
The Rum House,New York,NY,USA,Not found in Google Places
The Rutherford,New York,NY,USA,Not found in Google Places
The Sea Fire Grill,New York,NY,USA,Not found in Google Places
The Smith - Lincoln Square,New York,NY,USA,Not found in Google Places
The Skylark,New York,NY,USA,Not found in Google Places
The Smith - East Village,New York,NY,USA,Not found in Google Places
The Smith - Midtown,New York,NY,USA,Not found in Google Places
The Smith - Nomad,New York,NY,USA,Not found in Google Places
The Snail,New York,NY,USA,Not found in Google Places
The Spaniard,New York,NY,USA,Not found in Google Places
The Splendid,New York,NY,USA,Not found in Google Places
The Standard Grill,New York,NY,USA,Not found in Google Places
The Standard Plaza,New York,NY,USA,Not found in Google Places
The Standard Biergarten,New York,NY,USA,Not found in Google Places
The Tailor Public House,New York,NY,USA,Not found in Google Places
The Tavern at Gramercy Tavern,New York,NY,USA,Not found in Google Places
The Ten Bells- BK,New York,NY,USA,Not found in Google Places
The Terrace NYC,New York,NY,USA,Not found in Google Places
The Turk's Inn,New York,NY,USA,Not found in Google Places
The Tuck Room - Fulton Market,New York,NY,USA,Not found in Google Places
The Tang,New York,NY,USA,Not found in Google Places
The Ten Bells,New York,NY,USA,Not found in Google Places
The Tusk Bar,New York,NY,USA,Not found in Google Places
The Tyger,New York,NY,USA,Not found in Google Places
The Up & Up,New York,NY,USA,Not found in Google Places
The Uptown Garrison,New York,NY,USA,Not found in Google Places
The Warren,New York,NY,USA,Not found in Google Places
The Wallace Lounge,New York,NY,USA,Not found in Google Places
The Waverly Inn,New York,NY,USA,Not found in Google Places
The Wayland,New York,NY,USA,Not found in Google Places
The Westbury Pub,New York,NY,USA,Not found in Google Places
The Wolfe,New York,NY,USA,Not found in Google Places
The Woo Woo,New York,NY,USA,Not found in Google Places
The Wooly,New York,NY,USA,Not found in Google Places
theBoil NoHo,New York,NY,USA,Not found in Google Places
The Yacht Club,New York,NY,USA,Not found in Google Places
Theodora,New York,NY,USA,Not found in Google Places
Third Kingdom,New York,NY,USA,Not found in Google Places
Third Time's the Charm,New York,NY,USA,Not found in Google Places
theBoil Brooklyn,New York,NY,USA,Not found in Google Places
THIRST Series: A New Perspective on Wine,New York,NY,USA,Not found in Google Places
Thirteen Water,New York,NY,USA,Not found in Google Places
Thirteen Water West,New York,NY,USA,Not found in Google Places
Third Falcon,New York,NY,USA,Not found in Google Places
Thonglor Thai Restaurant,New York,NY,USA,Not found in Google Places
Tía Pol,New York,NY,USA,Not found in Google Places
Thyme Bar,New York,NY,USA,Not found in Google Places
Tigre,New York,NY,USA,Not found in Google Places
Tillie's x WSA,New York,NY,USA,Not found in Google Places
Tiny's & The Bar Upstairs,New York,NY,USA,Not found in Google Places
Time Out Market - Union Square,New York,NY,USA,Not found in Google Places
Tir Na Nog Bar and Grill,New York,NY,USA,Not found in Google Places
Titsou Bar,New York,NY,USA,Not found in Google Places
Tobalá,New York,NY,USA,Not found in Google Places
Togyushi,New York,NY,USA,Not found in Google Places
Toka,New York,NY,USA,Not found in Google Places
Tonchin Brooklyn,New York,NY,USA,Not found in Google Places
Tomiño Taberna Gallega,New York,NY,USA,Not found in Google Places
Toloache 50th St,New York,NY,USA,Not found in Google Places
Tong,New York,NY,USA,Not found in Google Places
Tonchin New York,New York,NY,USA,Not found in Google Places
TORA NYC,New York,NY,USA,Not found in Google Places
Top Thai Vintage,New York,NY,USA,Not found in Google Places
Torch & Crown Brewery & Restaurant,New York,NY,USA,Not found in Google Places
Torien,New York,NY,USA,Not found in Google Places
Torizaku,New York,NY,USA,Not found in Google Places
Torrisi,New York,NY,USA,Not found in Google Places
Tournesol Restaurant,New York,NY,USA,Not found in Google Places
TOWA,New York,NY,USA,Not found in Google Places
Tørst,New York,NY,USA,Not found in Google Places
Tradicionale,New York,NY,USA,Not found in Google Places
Trad Room,New York,NY,USA,Not found in Google Places
Traif,New York,NY,USA,Not found in Google Places
Trapizzino,New York,NY,USA,Not found in Google Places
Travelers Poets & Friends Bistro,New York,NY,USA,Not found in Google Places
Trove Wine Bar & Kitchen,New York,NY,USA,Not found in Google Places
Tre,New York,NY,USA,Not found in Google Places
Tsion Cafe,New York,NY,USA,Not found in Google Places
Tsubame,New York,NY,USA,Not found in Google Places
Tsubomi,New York,NY,USA,Not found in Google Places
TSUMO,New York,NY,USA,Not found in Google Places
TSUMO - UWS,New York,NY,USA,Not found in Google Places
Tsurutontan Midtown,New York,NY,USA,Not found in Google Places
Tsurutontan Union Square,New York,NY,USA,Not found in Google Places
Tumi Peruvian Restaurant,New York,NY,USA,Not found in Google Places
Tuome,New York,NY,USA,Not found in Google Places
Turkish Cuisine,New York,NY,USA,Not found in Google Places
Tucci - New York,New York,NY,USA,Not found in Google Places
Turkuaz Restaurant,New York,NY,USA,Not found in Google Places
Turntable LP Bar & Karaoke,New York,NY,USA,Not found in Google Places
Turtle Bay Tavern,New York,NY,USA,Not found in Google Places
Twilight Lounge,New York,NY,USA,Not found in Google Places
Two Hands Tribeca,New York,NY,USA,Not found in Google Places
TWO E Lounge,New York,NY,USA,Not found in Google Places
Two Hands Noho,New York,NY,USA,Not found in Google Places
Two Twenty One,New York,NY,USA,Not found in Google Places
Two Hands Williamsburg,New York,NY,USA,Not found in Google Places
Txikito,New York,NY,USA,Not found in Google Places
Uka Omakase,New York,NY,USA,Not found in Google Places
Ubani - Midtown,New York,NY,USA,Not found in Google Places
Ume,New York,NY,USA,Not found in Google Places
Ulivo Trattoria Pastificio,New York,NY,USA,Not found in Google Places
Uncle Ted's Chinese Cuisine,New York,NY,USA,Not found in Google Places
Union Square Cafe,New York,NY,USA,Not found in Google Places
Undercote,New York,NY,USA,Not found in Google Places
Unlisted,New York,NY,USA,Not found in Google Places
UNVEILED,New York,NY,USA,Not found in Google Places
Upland,New York,NY,USA,Not found in Google Places
Upstairs at Public Records,New York,NY,USA,Not found in Google Places
Upon The Palace,New York,NY,USA,Not found in Google Places
Upstate Craft Beer & Oyster Bar,New York,NY,USA,Not found in Google Places
Urban Cove Society & Kitchen,New York,NY,USA,Not found in Google Places
Urban Vegan Kitchen,New York,NY,USA,Not found in Google Places
Urban Vegan Roots,New York,NY,USA,Not found in Google Places
Ursula Brooklyn,New York,NY,USA,Not found in Google Places
Ushiwakamaru Pop Up at BBF,New York,NY,USA,Not found in Google Places
Utsav Indian Restaurant,New York,NY,USA,Not found in Google Places
Uva,New York,NY,USA,Not found in Google Places
Uva Next Door,New York,NY,USA,Not found in Google Places
Uzuki,New York,NY,USA,Not found in Google Places
Valla Table,New York,NY,USA,Not found in Google Places
Vallarta Tropical,New York,NY,USA,Not found in Google Places
Vallata,New York,NY,USA,Not found in Google Places
Veerays,New York,NY,USA,Not found in Google Places
Velvet Room,New York,NY,USA,Not found in Google Places
Velma Tavern,New York,NY,USA,Not found in Google Places
VERANDA RESTAURANT,New York,NY,USA,Not found in Google Places
Verde on Smith,New York,NY,USA,Not found in Google Places
Vert Frais,New York,NY,USA,Not found in Google Places
Verve Wine,New York,NY,USA,Not found in Google Places
Veselka (East Village),New York,NY,USA,Not found in Google Places
Veselka (Williamsburg),New York,NY,USA,Not found in Google Places
Vesta,New York,NY,USA,Not found in Google Places
